                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9529,                 4.0003,                  3.774,                0.00567,                0.36166,                0.00571,                0.00131,                 4.1292,                 3.4679,                 3.2968,             0.00066133,             0.00066133,             0.00066133
                      2,                 3.8424,                 3.1643,                 2.7771,                0.00835,                0.01089,                0.00094,                0.00026,                 4.3614,                 6.6094,                 3.4832,              0.0013017,              0.0013017,              0.0013017
                      3,                 3.5755,                 3.0317,                 2.5261,                0.06523,                0.11765,                0.03329,                0.00901,                  3.065,                 3.8233,                 2.4919,              0.0019157,              0.0019157,              0.0019157
                      4,                 3.3126,                  2.903,                 2.3573,                0.10421,                0.11765,                0.03818,                0.01212,                 2.8634,                 3.5528,                 2.4118,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.0874,                 2.7264,                 2.1955,                 0.2323,                0.31699,                0.16538,                0.06053,                 2.5966,                 4.5769,                 2.2211,              0.0018416,              0.0018416,              0.0018416
                      6,                 2.8874,                 2.5699,                 2.0757,                0.09371,                0.18627,                0.05129,                 0.0202,                 2.4291,                 3.0616,                 2.1254,               0.001802,               0.001802,               0.001802
                      7,                  2.724,                 2.4924,                 1.9997,                 0.1316,                0.23747,                0.06743,                0.02491,                 2.4415,                 2.7728,                 2.1285,              0.0017624,              0.0017624,              0.0017624
                      8,                 2.5915,                 2.4182,                 1.9177,                0.09683,                0.26906,                0.06183,                0.02428,                 2.2101,                 3.1063,                 1.9417,              0.0017228,              0.0017228,              0.0017228
                      9,                 2.5052,                 2.3442,                 1.8564,                0.22148,                0.37908,                0.16951,                0.07624,                 2.0746,                 2.2392,                 1.8451,              0.0016832,              0.0016832,              0.0016832
                     10,                 2.4319,                 2.2942,                 1.8149,                0.27011,                0.41159,                0.21141,                0.09657,                 2.0274,                 2.2853,                 1.8362,              0.0016436,              0.0016436,              0.0016436
                     11,                 2.2977,                 2.1743,                 1.7325,                0.20473,                 0.4183,                0.16486,                0.07851,                 1.9233,                 2.5601,                 1.7525,               0.001604,               0.001604,               0.001604
                     12,                 2.2922,                 2.2155,                 1.7321,                0.24172,                0.34343,                0.17396,                0.08536,                 2.0248,                 2.2419,                 1.8216,              0.0015644,              0.0015644,              0.0015644
                     13,                 2.2295,                 2.1329,                 1.6867,                0.31211,                0.41939,                0.28539,                0.15678,                 1.7955,                 2.2506,                 1.6693,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.2135,                 2.1262,                 1.6598,                 0.2455,                0.40523,                0.17296,                0.09226,                 1.8433,                 2.3208,                 1.7167,              0.0014852,              0.0014852,              0.0014852
                     15,                 2.1405,                 2.0743,                 1.6358,                0.22841,                0.39542,                0.17529,                0.09518,                 1.7871,                 2.5736,                 1.6657,              0.0014456,              0.0014456,              0.0014456
                     16,                 2.1134,                 2.0107,                 1.5951,                0.29126,                0.49237,                0.24412,                0.14257,                 1.6036,                 1.8838,                 1.5552,               0.001406,               0.001406,               0.001406
                     17,                 2.0495,                  2.009,                 1.5784,                0.34321,                0.45084,                0.32744,                0.18515,                 1.7073,                 1.9053,                 1.5927,              0.0013664,              0.0013664,              0.0013664
                     18,                 2.0028,                 1.9523,                 1.5446,                0.21503,                0.43137,                0.14513,                0.08001,                  1.806,                 2.2764,                 1.7015,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.9859,                 1.9549,                 1.5706,                0.26942,                0.44662,                0.21067,                0.12441,                  1.592,                 1.9915,                 1.5292,              0.0012872,              0.0012872,              0.0012872
                     20,                 1.9848,                  1.946,                 1.5263,                0.37744,                0.50327,                0.36824,                 0.2163,                 1.6522,                 2.0129,                 1.5517,              0.0012476,              0.0012476,              0.0012476
                     21,                 1.9361,                 1.8997,                 1.5039,                0.27467,                0.49673,                0.24732,                0.15524,                 1.5478,                 2.1148,                 1.5002,               0.001208,               0.001208,               0.001208
                     22,                 1.9191,                  1.901,                 1.4917,                0.35379,                 0.4455,                0.29317,                0.18119,                 1.5414,                 1.8789,                 1.4945,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.8898,                 1.8907,                 1.4965,                0.27109,                0.49782,                0.20986,                0.13107,                 1.5238,                 2.0781,                 1.4946,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.8786,                   1.84,                  1.475,                0.29833,                0.50109,                0.27521,                0.17521,                 1.4837,                 1.8862,                 1.4599,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.8318,                 1.8152,                 1.4314,                0.41328,                 0.4793,                0.39738,                0.25353,                 1.5157,                 1.7904,                 1.4623,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.8188,                 1.8248,                 1.4612,                0.27811,                0.50327,                0.23541,                0.15197,                 1.4699,                 1.8226,                  1.466,                0.00101,                0.00101,                0.00101
                     27,                 1.7557,                 1.7735,                 1.4182,                0.36259,                0.51307,                0.35986,                0.23327,                 1.4277,                 1.7046,                  1.432,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.7648,                 1.7786,                 1.4212,                 0.3638,                0.53159,                0.39628,                0.27042,                  1.419,                  1.859,                 1.4056,              0.0009308,              0.0009308,              0.0009308
                     29,                  1.782,                 1.8079,                 1.4372,                0.34869,                0.53377,                0.38784,                0.25088,                  1.408,                 1.8038,                 1.4016,              0.0008912,              0.0008912,              0.0008912
                     30,                  1.764,                 1.7561,                 1.4062,                0.34755,                0.56427,                0.32867,                0.22154,                 1.3375,                 1.7214,                 1.3509,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.7549,                 1.7888,                 1.4246,                0.23724,                0.52614,                0.20283,                 0.1273,                 1.4075,                 2.0527,                 1.4105,               0.000812,               0.000812,               0.000812
                     32,                 1.7331,                 1.7675,                 1.3953,                0.35288,                0.53813,                 0.3276,                0.22083,                 1.3869,                 1.7604,                 1.3766,              0.0007724,              0.0007724,              0.0007724
                     33,                  1.686,                 1.7149,                 1.3822,                0.37004,                 0.5305,                0.38502,                0.27595,                 1.2447,                 1.7108,                 1.3144,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.6553,                 1.6802,                  1.363,                0.28407,                0.52941,                0.22908,                0.15166,                 1.4132,                 1.8795,                 1.4098,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.6981,                 1.7292,                 1.3676,                0.35598,                0.48911,                0.37698,                0.26552,                  1.329,                 1.7938,                 1.3667,              0.0006536,              0.0006536,              0.0006536
                     36,                 1.6469,                 1.6958,                 1.3593,                0.31959,                0.53704,                0.30006,                0.20836,                 1.2582,                 1.6812,                 1.3268,               0.000614,               0.000614,               0.000614
                     37,                 1.6331,                 1.7008,                 1.3384,                 0.4355,                0.55213,                0.47228,                0.34001,                  1.249,                 1.6014,                 1.3101,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.6594,                 1.7038,                 1.3686,                0.46827,                0.49564,                0.48224,                0.33525,                 1.2882,                 1.6606,                  1.323,              0.0005348,              0.0005348,              0.0005348
