                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.1665,                 4.3106,                 3.8019,                0.00374,                0.03297,                0.00242,                0.00059,                 5.1699,                 3.8006,                 4.0231,             0.00066133,             0.00066133,             0.00066133
                      2,                 4.0929,                 3.2172,                 2.6693,                 0.0112,                0.13189,                0.00742,                0.00164,                 3.9563,                  3.392,                 2.4936,              0.0013149,              0.0013149,              0.0013149
                      3,                 3.9198,                 3.0092,                 2.2709,                 0.0078,                0.09185,                 0.0043,                0.00129,                 3.5809,                 3.7715,                 2.2971,              0.0019552,              0.0019552,              0.0019552
                      4,                 3.6968,                 2.9279,                 2.1618,                  0.031,                0.36506,                0.04923,                0.01347,                 3.2614,                 2.5549,                 2.1688,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.5927,                 2.8984,                 2.0122,                0.03755,                0.11678,                0.01748,                0.00499,                 3.3378,                 3.0228,                 2.0609,              0.0019208,              0.0019208,              0.0019208
                      6,                 3.4338,                 2.7934,                 1.9569,                0.10484,                0.10442,                0.04508,                0.01351,                 3.1936,                 2.7846,                 2.0122,               0.001901,               0.001901,               0.001901
                      7,                 3.2926,                  2.695,                 1.8868,                0.17729,                0.11737,                0.05877,                0.01762,                 3.1813,                 2.7536,                 2.1389,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.1902,                  2.585,                 1.8217,                0.14437,                0.10815,                0.05603,                0.01853,                 3.2209,                 2.6241,                  2.014,              0.0018614,              0.0018614,              0.0018614
                      9,                 3.0987,                 2.5452,                 1.7819,                0.21029,                0.17645,                0.09933,                0.03423,                   2.72,                  2.271,                 1.8352,              0.0018416,              0.0018416,              0.0018416
                     10,                 3.0275,                 2.4819,                 1.7147,                0.10801,                0.15427,                0.04978,                0.01782,                 2.8262,                 2.4884,                 1.8343,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.9407,                 2.3907,                 1.6869,                0.23041,                0.21963,                0.12652,                0.05045,                 2.4786,                 2.1346,                 1.6893,               0.001802,               0.001802,               0.001802
                     12,                  2.854,                 2.3983,                 1.6781,                0.26928,                0.23435,                0.13863,                0.05156,                 2.4805,                 2.0715,                 1.6923,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.7947,                  2.311,                 1.6466,                0.32373,                 0.2526,                0.20096,                0.07637,                 2.4432,                 1.9537,                 1.6631,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.7234,                  2.286,                   1.62,                 0.3952,                0.25358,                0.23869,                0.10305,                 2.3093,                 1.8921,                 1.6097,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.7245,                 2.2434,                  1.586,                0.30475,                 0.2579,                0.18325,                0.07872,                 2.2931,                 1.9481,                 1.6079,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.6455,                 2.2083,                 1.5777,                0.19256,                0.22022,                0.08928,                0.03682,                 2.2869,                 2.1437,                 1.6113,               0.001703,               0.001703,               0.001703
                     17,                 2.6284,                 2.1923,                 1.5639,                0.30068,                0.26968,                0.16415,                0.07131,                 2.1968,                 1.9249,                 1.5713,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.6072,                 2.1741,                 1.5418,                0.32188,                 0.2789,                0.20882,                0.09217,                 2.1609,                 1.8325,                 1.5161,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.5753,                 2.1333,                 1.5166,                0.21522,                0.23957,                0.10963,                 0.0462,                 2.2153,                 2.0316,                 1.5617,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.5584,                 2.1429,                 1.5353,                0.29969,                0.27184,                0.15991,                0.07034,                 2.1924,                 1.8841,                 1.5495,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.5399,                 2.1651,                 1.5034,                0.32972,                0.29892,                0.20189,                 0.0978,                 2.0753,                 1.8959,                 1.4727,               0.001604,               0.001604,               0.001604
                     22,                 2.4741,                 2.0865,                 1.4918,                0.31306,                0.26909,                0.16579,                0.07066,                 2.2491,                 1.9304,                 1.5605,              0.0015842,              0.0015842,              0.0015842
